hold_out,level,threshold,tp,tn,fn,fp
0.1,1,0.07,2,193,0,280
0.1,1,0.09,4,202,0,272
0.1,1,0.11,2,181,0,295
0.1,1,0.13,0,210,0,271
0.1,1,0.15,4,197,0,277
0.1,1,0.17,1,193,0,285
0.1,1,0.19,0,190,0,288
0.1,1,0.21,0,185,0,285
0.1,1,0.23,0,191,0,283
0.1,2,0.07,238,59,139,46
0.1,2,0.09,214,78,142,46
0.1,2,0.11,194,89,115,77
0.1,2,0.13,182,100,81,121
0.1,2,0.15,165,119,78,123
0.1,2,0.17,142,124,64,142
0.1,2,0.19,128,130,65,165
0.1,2,0.21,105,143,67,163
0.1,2,0.23,86,152,46,178
0.1,3,0.07,288,14,171,7
0.1,3,0.09,275,21,174,12
0.1,3,0.11,264,27,170,18
0.1,3,0.13,260,41,153,18
0.1,3,0.15,249,41,155,35
0.1,3,0.17,212,61,145,56
0.1,3,0.19,216,85,120,59
0.1,3,0.21,194,88,103,89
0.1,3,0.23,166,93,92,122
0.1,4,0.07,287,10,168,7
0.1,4,0.09,273,16,181,8
0.1,4,0.11,270,21,169,9
0.1,4,0.13,263,36,166,14
0.1,4,0.15,248,45,145,36
0.1,4,0.17,232,45,154,44
0.1,4,0.19,228,70,117,62
0.1,4,0.21,190,89,115,82
0.1,4,0.23,151,98,120,107
0.1,5,0.07,296,14,166,4
0.1,5,0.09,273,15,179,5
0.1,5,0.11,275,23,162,9
0.1,5,0.13,266,34,161,27
0.1,5,0.15,235,37,182,24
0.1,5,0.17,249,47,135,45
0.1,5,0.19,231,71,125,52
0.1,5,0.21,198,64,110,92
0.1,5,0.23,190,95,94,103
0.2,1,0.07,8,482,4,704
0.2,1,0.09,5,507,4,684
0.2,1,0.11,6,495,2,710
0.2,1,0.13,8,472,1,725
0.2,1,0.15,2,495,1,723
0.2,1,0.17,2,494,0,704
0.2,1,0.19,5,462,0,741
0.2,1,0.21,0,469,1,724
0.2,1,0.23,1,481,0,719
0.2,2,0.07,545,171,324,173
0.2,2,0.09,502,215,270,211
0.2,2,0.11,475,236,243,250
0.2,2,0.13,394,283,200,321
0.2,2,0.15,365,308,152,372
0.2,2,0.17,299,334,156,405
0.2,2,0.19,241,380,107,467
0.2,2,0.21,225,377,105,503
0.2,2,0.23,186,397,95,521
0.2,3,0.07,708,44,426,23
0.2,3,0.09,654,86,430,36
0.2,3,0.11,643,91,390,78
0.2,3,0.13,594,126,372,120
0.2,3,0.15,555,159,315,183
0.2,3,0.17,504,212,252,236
0.2,3,0.19,417,251,259,277
0.2,3,0.21,381,268,214,349
0.2,3,0.23,343,295,179,391
0.2,4,0.07,698,42,437,23
0.2,4,0.09,685,59,419,40
0.2,4,0.11,660,87,396,63
0.2,4,0.13,584,120,381,118
0.2,4,0.15,575,164,315,146
0.2,4,0.17,520,186,304,199
0.2,4,0.19,435,218,288,256
0.2,4,0.21,391,268,236,320
0.2,4,0.23,334,287,210,374
0.2,5,0.07,721,41,420,30
0.2,5,0.09,676,65,423,36
0.2,5,0.11,646,86,411,63
0.2,5,0.13,592,126,365,105
0.2,5,0.15,559,155,328,155
0.2,5,0.17,512,199,268,214
0.2,5,0.19,437,226,271,258
0.2,5,0.21,384,257,237,333
0.2,5,0.23,335,309,194,365
0.3,1,0.07,7,759,1,1111
0.3,1,0.09,8,735,0,1121
0.3,1,0.11,3,752,0,1113
0.3,1,0.13,5,776,2,1103
0.3,1,0.15,4,743,0,1133
0.3,1,0.17,4,741,0,1117
0.3,1,0.19,2,765,0,1097
0.3,1,0.21,0,769,0,1108
0.3,1,0.23,2,768,0,1103
0.3,2,0.07,848,293,456,284
0.3,2,0.09,782,339,429,337
0.3,2,0.11,703,405,332,448
0.3,2,0.13,604,441,294,525
0.3,2,0.15,503,516,247,620
0.3,2,0.17,443,523,226,670
0.3,2,0.19,333,559,201,770
0.3,2,0.21,294,625,134,821
0.3,2,0.23,254,677,109,849
0.3,3,0.07,1050,85,716,47
0.3,3,0.09,1028,134,641,84
0.3,3,0.11,956,155,624,152
0.3,3,0.13,889,233,511,241
0.3,3,0.15,792,283,481,330
0.3,3,0.17,719,349,392,427
0.3,3,0.19,613,429,327,508
